id,title,code,subject,descr,tags,rating
780,Society and Natural Resources,BSOC 2201,BSOC,"The actions of people are crucial to environmental well-being. This course addresses the interrelationships between social phenomena and the natural (i.e., biophysical) environment. It is intended to (1) increase student awareness of these interconnections in their everyday lives; (2) introduce students to a variety of social science perspectives, including sociology, economics, psychology, and political science, that help us make sense of these connections; (3) identify the contributions of each of these perspectives to our understanding of environmental problems; and (4) discuss how natural resource management and environmental policy reflect these perspectives.",SBA-AS|BSOC,5
781,Early Agriculture,BSOC 2211,BSOC,"Throughout most of the human career, people survived by hunting and gathering wild foods. The advent of food production is one of the most profound changes in history and prehistory. This course examines the current evidence for the appearance and spread of agriculture - plant and animal domestication - around the world. We will consider definitions of agriculture and domestication, the conditions under which it arises, the consequences for those who adopt it, and why it has spread over most of the world.",HA-AS|GLC-AS|HST-AS|BSOC,5
782,Literature and Medicine,BSOC 2350,BSOC,"How does literary language depict the experience of physical suffering? Can a poem or a novel palliate pain, illness, even the possibility of death? From darkly comic narratives of black plague to the rise and fall of hysteria to depictions of the AIDS crisis, this course examines literature centered on medical practices from the early modern period through the twentieth century. Why have medical practices changed, and how do writers address their political, social, and ideological implications? Readings will include a broad range of genres, including poetry (Dickinson, Whitman, Keats), fiction (McEwan, Chekhov, Gilman, Kafka, Camus), theater (Kushner), nonfiction prose (Woolf, Freud), and critical theory (Foucault, Scarry, Canguilhem, Sontag).",LA-AS|ALC-AS|SCD-AS|BSOC,5
783,"Medicine, Culture, and Society",BSOC 2468,BSOC,"Medicine has become the language and practice through which we address a broad range of both individual and societal complaints. Interest in this medicalization of life may be one of the reasons that medical anthropology is currently the fastest-growing subfield in anthropology. This course encourages students to examine concepts of disease, suffering, health, and well-being in their immediate experience and beyond. In the process, students will gain a working knowledge of ecological, critical, phenomenological, and applied approaches used by medical anthropologists. We will investigate what is involved in becoming a doctor, the sociality of medicines, controversies over new medical technologies, and the politics of medical knowledge. The universality of biomedicine, or hospital medicine, will not be taken for granted, but rather we will examine the plurality generated by the various political, economic, social, and ethical demands under which biomedicine has developed in different places and at different times. In addition, biomedical healing and expertise will be viewed in relation to other kinds of healing and expertise. Our readings will address medicine in North America as well as other parts of the world. In class, our discussions will return regularly to consider the broad diversity of kinds of medicine throughout the world, as well as the specific historical and local contexts of biomedicine.",CA-AS|GLC-AS|SCD-AS|BSOC,5
784,Environmental History,BSOC 2581,BSOC,"This lecture course serves as an introduction to the historical study of humanity's interrelationship with the natural world. Environmental history is a quickly evolving field, taking on increasing importance as the environment itself becomes increasingly important in world affairs. During this semester, we'll examine the sometimes unexpected ways in which ""natural"" forces have shaped human history (the role of germs, for instance, in the colonization of North America); the ways in which human beings have shaped the natural world (through agriculture, urbanization, and industrialization, as well as the formation of things like wildlife preserves); and the ways in which cultural, scientific, political, and philosophical attitudes toward the environment have changed over time. This is designed as an intensely interdisciplinary course: we'll view history through the lenses of ecology, literature, art, film, law, anthropology, and geography. Our focus will be on the United States, but, just as environmental pollutants cross borders, so too will this class, especially toward the end, when we attempt to put U.S. environmental history into a geopolitical context. This course is meant to be open to all, including non-majors and first-year students.",HA-AS|HST-AS|BSOC,5
785,Life Sciences and Society,BSOC 3011,BSOC,"Biology and biotechnology are major influences on modern life. In addition, socio-political and historical conditions have shaped biological research and its applications in medicine, agriculture, environmental science, etc. Life science research is itself a social process involving complex human dynamics, different kinds of work and an array of social and natural systems. The course aims to introduce students to critical science and technology studies (S&TS) perspectives on the knowledge and practices of life sciences. The course is designed to prepare students for more advanced courses in the Biology & Society and S&TS majors, but students who do not plan to take further courses in those subjects can get critical insight into biology's profound role in both science and society.",SBA-AS|SSC-AS|BSOC,5
786,"Living in an Uncertain World: Science, Technology, and Risk",BSOC 3181,BSOC,"This course explores the history, sociology, and ethics of risk. In particular, we will focus on the complex and often ambiguous relationship between science, technology, and risk. A historical perspective shows how science and technology have generated risks while they have also played key roles in managing and solving those very risks. By examining several case studies, including 19th-century mining, the 1911 Triangle fire, nuclear science, the space shuttle disasters, asbestos litigation, Hurricane Katrina, and the contemporary financial crisis, we will consider how risk and ideas about risk have changed over time. By exploring different historical and cultural responses to risk, we will examine the sociopolitical dimensions of the definitions, perceptions, and management of risk both in the past and the present.",HA-AS|HST-AS|BSOC,5
787,Humans and Animals,BSOC 3230,BSOC,"Human-animal relationships are often seen in utilitarian, nutritional terms, particularly in archaeology. But animals and meat have significance far beyond their economic value. This course focuses on a broad range of these non-dietary roles of animals in human societies, past and present. This includes the fundamental shift in human-animal relations associated with domestication; the varied meanings of wild and domestic animals; as well as the importance of animals as wealth, as objects of sacrifice, as totems or metaphors for humans, and as symbols in art. Meat can be used in feasting and meat sharing to create, cement, and manipulate social relationships. This course is open to students of archaeology, cultural anthropology, and other disciplines with an interest in human-animal relations.",CA-AS|GLC-AS|BSOC,5
788,Primate Behavior and Ecology with Emphasis on African Apes,BSOC 3390,BSOC,"The course will investigate all aspects of non-human primate life. Based on the fundamentals of evolutionary theory, group and inter-individual behaviors will be presented. In addition, an understanding of group structure and breeding systems will be reached through an evaluation of ecological constraints imposed on primates in different habitats. Subjects include: primate taxonomy, diet and foraging, predation, cooperation and competition, social ontogeny, kinship, and mating strategies.",PBSS-AS|BIO-AS|BSOC,5
789,Independent Study,BSOC 3751,BSOC,"Projects under the direction of a Biology and Society faculty member are encouraged as part of the program of study within the student's concentration area. Applications for research projects are accepted by individual faculty members. Students may enroll for 1 to 4 credits in BSOC 3751 Independent Study with written permission of the faculty supervisor and may elect either the letter grade or the S-U option. Students may elect to do an independent study project as an alternative to, or in advance of, an honors project. Information on faculty research, scholarly activities, and undergraduate opportunities are available in the Biology and Society Office, 303 Morrill Hall. Independent study credits may not be used in completion of the major requirements.",BSOC,5
790,Health and Environmental Justice,BSOC 4280,BSOC,"Human bodies are inescapably enmeshed in our environments: human health and environmental health are inseparable. But human bodies are not equally impacted by environmental degradation and toxicity. Environmental injustice physically reproduces structures of power along lines of race, gender, global position, and wealth disparity. This upper-level seminar examines global and US case studies of environmental injustice and public health. Topics include waste flows, dump and industrial siting, environmental monitoring, and agriculture and aquaculture. We will also examine the politics of environmental health knowledge and movements for environmental justice.",SBA-AS|SCD-AS|BSOC,5
791,Advanced Topics in Clinical Ethics,BSOC 4650,BSOC,"In this advanced course, students will use their knowledge and analytical skills to explore complex value-laden issues in contemporary healthcare and health policy debate.  Case studies and news stories will springboard discussion around topics including the changing professional-patient relationship, medical decision-making, emerging technologies, contemporary health concerns, evolving care-delivery systems, and the healthcare experience of vulnerable populations.  Discussions will emphasize contextual issues and vantage point at the individual and societal levels, as well as the interconnections between bedside ethical dilemmas and broader health system, health policy, and sociocultural/political issues. Topics will encompass the life span from maternal-fetal to end-of-life. We will utilize speakers/field trips to enhance exposure to different voices.  Readings will be selected from the popular press and healthcare, ethics, social science, and law literatures.",CA-AS|ETM-AS|BSOC,5
792,"Food, Agriculture, and Society",BSOC 4691,BSOC,"Multidisciplinary course dealing with the social and environmental impact of food production in the United States and developing countries. Agroecosystems of various kinds are analyzed from biological, economic, and social perspectives. The impacts of traditional, conventional, and alternative agricultural technologies are critically examined in the context of developed and developing economies. Specific topics include biodiversity and ecosystem services in agriculture, transgenic crops, biofuels, urban agriculture, and sustainable development.",PBS-AS|BIO-AS|GLC-AS|BSOC,5
793,Honors Project I,BSOC 4991,BSOC,"Students must register for 4 credits each semester (4991-4992) for a total of 8 credits. After the first semester, students receive a letter grade of ""R""; a letter grade for both semesters is submitted at the end of the second semester whether or not the student completes a thesis or is recommended for honors. Minimally, an honors thesis outline and bibliography should be completed during the first semester. In consultation with the advisors, the director of undergraduate studies will evaluate whether the student should continue working on an honors project. Students should note that these courses are to be taken in addition to those courses that meet the regular major requirements. If students do not complete the second semester of the honors project, they must change the first semester to independent study to clear the ""R"" and receive a grade. Otherwise, the ""R"" will remain on their record and prevent them from graduating.",BSOC,5
794,Honors Project II,BSOC 4992,BSOC,"Students must register for the 4 credits each semester (BSOC 4991-BSOC 4992) for a total of 8 credits. After the first semester, students receive a letter grade of ""R""; a letter grade for both semesters is submitted at the end of the second semester whether or not the student completes a thesis or is recommended for honors. Minimally, an honors thesis outline and bibliography should be completed during the first semester. In consultation with the advisors, the director of undergraduate studies will evaluate whether the student should continue working on an honors project. Students should note that these courses are to be taken in addition to those courses that meet the regular major requirements. If students do not complete the second semester of the honors project, they must change the first semester to independent  study to clear the ""R"" and receive a grade. Otherwise, the ""R"" will remain on their record and prevent them from graduating.",BSOC,5
795,Biological Statistics II,BTRY 3020,BTRY,"Applies linear statistical methods to quantitative problems addressed in biological and environmental research. Methods include linear regression, inference, model assumption evaluation, the likelihood approach, matrix formulation, generalized linear models, single-factor and multifactor analysis of variance (ANOVA), and a brief foray into nonlinear modeling. Carries out applied analysis in a statistical computing environment.",OPHLS-AG|BTRY,5
796,Probability Models and Inference,BTRY 3080,BTRY,"This course provides an introduction to probability and parametric inference. Topics include: random variables, standard distributions, the law of large numbers, the central limit theorem, likelihood-based estimation, sampling distributions and hypothesis testing, as well as an introduction to Bayesian methods. Some assignments may involve computation using the R programming language.",BTRY,5
797,Theory of Statistics,BTRY 4090,BTRY,"Introduction to classical theory of parametric statistical inference that builds on the material covered in BTRY 3080. Topics include sampling distributions, principles of data reduction, likelihood, parameter estimation, hypothesis testing, interval estimation, and basic asymptotic theory.",OPHLS-AG|BTRY,5
798,Applied Design,BTRY 4140,BTRY,"This course begins with a discussion of some general principles of experimental design. Classical designs are covered in detail, motivated by real data applications. These include completely randomized, randomized block, balanced incomplete block, split-plot, repeated measures and fractional factorial designs. If time permits rank-based nonparametric versions of the classical designs will also be covered.",BTRY,5
799,Statistical Computing,BTRY 4520,BTRY,"This course is designed to provide students with an introduction to statistical computing. The class will cover the basics of programming; numerical methods for optimization and linear algebra and their application to statistical estimation, generating random variables, bootstrap, jackknife and permutation methods, Markov Chain Monte Carlo methods, Bayesian inference and computing with latent variables.",BTRY,5
800,Quantitative Genomics and Genetics,BTRY 4830,BTRY,"A rigorous treatment of analysis techniques used to understand complex genetic systems. This course covers both the fundamentals and advances in statistical methodology used to analyze disease and agriculturally relevant and evolutionarily important phenotypes. Topics include mapping quantitative trait loci (QTLs), application of microarray and related genomic data to gene mapping, and evolutionary quantitative genetics. Analysis techniques include association mapping, interval mapping, and analysis of pedigrees for both single and multiple QTL models. Application of classical inference and Bayesian analysis approaches is covered and there is an emphasis on computational methods.",OPHLS-AG|BTRY,5
801,Undergraduate Individual Study in Biometry and Statistics,BTRY 4970,BTRY,"Consists of individual tutorial study selected by the faculty. Because topics usually change from year to year, this course may be repeated for credit.",BTRY,5
802,Undergraduate Supervised Teaching,BTRY 4980,BTRY,Students assist in teaching a course appropriate to their previous training. Students meet with a discussion or laboratory section and regularly discuss objectives with the course instructor.,BTRY,5
803,Undergraduate Research,BTRY 4990,BTRY,Permits outstanding undergraduates to carry out independent study of suitable problems under appropriate supervision. Students cannot receive both pay and credit for the same hours of work.,BTRY,5
804,Statistical Methods II,BTRY 6020,BTRY,"Continuation of BTRY 6010. Emphasizes the use of multiple regression analysis, analysis of variance, and related techniques to analyze data in a variety of situations. Topics include an introduction to data collection techniques; least squares estimation; multiple regression; model selection techniques; detection of influential points, goodness-of-fit criteria; principles of experimental design; analysis of variance for a number of designs, including multi-way factorial, nested, and split plot designs; comparing two or more regression lines; and analysis of covariance. Emphasizes appropriate design of studies before data collection, and the appropriate application and interpretation of statistical techniques. Practical applications are implemented using a modern, widely available statistical package.",BTRY,5
805,Computationally Intensive Statistical Methods,BTRY 6520,BTRY,"Modern statistical methods routinely used in practice for analyzing large, complex datasets require intensive computation. This course covers topics in statistical computing, including numerical optimization and finding zeros (likelihood and related techniques), random number generation and Monte Carlo methods, bootstrap and subsampling, dimension reduction, nonlinear predictive modeling and parallel computing. Programming will be done in R.",BTRY,5
806,Quantitative Genomics and Genetics,BTRY 6830,BTRY,"A rigorous treatment of analysis techniques used to understand complex genetic systems. This course covers both the fundamentals and advances in statistical methodology used to analyze disease and agriculturally relevant and evolutionarily important phenotypes. Topics include mapping quantitative trait loci (QTLs), application of microarray and related genomic data to gene mapping, and evolutionary quantitative genetics. Analysis techniques include association mapping, interval mapping, and analysis of pedigrees for both single and multiple QTL models. Application of classical inference and Bayesian analysis approaches is covered and there is an emphasis on computational methods.",BTRY,5
807,Current Topics in Population Genomics,BTRY 6890,BTRY,Graduate seminar on current topics in population genetics. Readings are chosen primarily from current scientific literature. Participation in discussion and presentation of at least one paper required for course credit.,BTRY,5
808,Individual Graduate Study in Biometry and Statistics,BTRY 6970,BTRY,"Individual tutorial study selected by the faculty. Because topics usually change from year to year, this course may be repeated for credit.",BTRY,5
809,Statistical and Computational Genetics,BTRY 7200,BTRY,"Weekly seminar series on recent advances in computational genomics. A selection of the latest papers in the field are read and discussed. Methods are stressed, but biological results and their significance are also addressed.",BTRY,5
810,Topics in Quantitative Genomics,BTRY 7210,BTRY,"Weekly seminar series on recent advances in quantitative genomics. A selection of the latest papers in the field is read and discussed. Methods are stressed, but biological results and their significance are also addressed.",BTRY,5
811,Graduate-Level Dissertation Research,BTRY 7900,BTRY,Research at the Ph.D. level.,BTRY,5
812,Graduate Supervised Teaching,BTRY 7980,BTRY,"Students assist in teaching a course appropriate to their previous training. Students meet with a discussion section, prepare course materials, and assist in grading. Credit hours are determined in consultation with the instructor, depending on the level of teaching and the quality of work expected.",BTRY,5
813,Master's Level Thesis Research,BTRY 8900,BTRY,Research at the M.S. level.,BTRY,5
814,Doctoral-Level Dissertation Research,BTRY 9900,BTRY,"Thesis research for Ph.D. candidates after ""A"" exam has been passed.",BTRY,5
815,Elementary Burmese (Myanmar) II,BURM 1122,BURM,The skills learned in the first semester are reinforced and expanded in this course. The focus is on building up confidence in speaking and understanding spoken Burmese that you will need if you visit the country. Significant practical skills are learned along with essential information on some customs and traditions of Burmese culture. Knowledge and understanding of grammar is also an important part of the course.,BURM,5
816,Intermediate Burmese (Myanmar) II,BURM 2202,BURM,"Continuing instruction in Burmese at the higher intermediate level with a focus on improving oral expression, reading and interpretation of written texts, and further development of listening skills using language learning materials based on authentic audio-video clips.",BURM,5
817,Advanced Burmese (Myanmar) II,BURM 3302,BURM,"All materials used in the course are authentic Burmese stories, current event reports, radio plays, etc. The particular materials used in any given year may vary depending on the proficiency level of the students. For students who are involved in Burma/Myanmar related research, their projects may also become part of the course.",BURM,5
818,Advanced Reading in Burmese (Myanmar) II,BURM 3310,BURM,"This course will further advance the student's reading skills. Burmese texts of advanced-level complexity will be read, analyzed, and translated to English. A certain amount of discussion in Burmese and English is also part of the course, but the primary objective is to learn to read and understand the typical texts that appear on websites about current events, cultural trends, news from around the world, as well as short literary works by contemporary authors, especially those that reflect the country's history, geography, and ethnic diversity. Heritage speakers of Burmese as well as students who are learning Burmese as a foreign language are welcome.",BURM,5
819,Introduction to China,CAPS 2212,CAPS,"Interdisciplinary introduction to Chinese culture especially designed for students not majoring in Asian Studies. Explores literature, history, religion, and art, and other aspects of China's rich and diverse heritage, from earliest times to the present.",CA-AS|ALC-AS|HST-AS|CAPS,5
820,Making of an Empire in China,CAPS 2931,CAPS,"The Great Qing (1644-1911), a multi-ethnic empire that conquered China proper from the northeastern borderlands, expanded into central Asia, Mongolia, and Tibet, and consolidated the China-based empire's control over its southwestern frontiers. An heir to both Chinese and Inner Asian traditions, the Qing empire laid the foundation for the modern Chinese nation-state. In this course, students will focus on the political, legal, social, cultural, and intellectual aspects of China's long eighteenth century. Students will also locate the early modern Chinese empire in a regional and global context, examining its power influence in Korea and Southeast Asia, and its encounters and interactions with Western and Japanese imperialist powers. These encounters and interactions contributed to the domestic turmoil and foreign invasions that eventually led to the demise of China's imperial tradition. But they also gave rise to new forces that would shape the fate of modern China in the twentieth and twenty-first centuries. From Spring 2021 onward, this course fulfills the pre-1800 requirement for History Major",HA-AS|GLC-AS|HST-AS|CAPS,5
821,Transformations in Twentieth Century China,CAPS 2985,CAPS,"The twentieth century was a time of unprecedented change in China as the country's ancient imperial system collapsed and a new modern order began to emerge. This course will explore the myriad transformations that occurred during this remarkable century of revolution and renewal. Among the major changes that we will focus on are the fall of the Qing dynasty, the intellectual awakening of May Fourth, the rise of the Nationalist party-state, and key events of the Communist era, such as the Great Leap Forward and Cultural Revolution under Mao Zedong and the capitalist reforms of Deng Xiaoping. The class will encourage historical reflection on China's engagement with the modern world in order to better understand the complex reality of China today.",HA-AS|GLC-AS|HST-AS|CAPS,5
822,China's Next Economy,CAPS 3049,CAPS,"This course provides students with an analytical framework to understand China's ongoing economic transformation. The courses goals include: 1) to familiarize students with different perspectives on China's economic development and future prospects; 2) to provide a close working knowledge of the evolving current situation, with a focus on internal variation within China—telling different Chinese stories, not one ""China story""—and particularly emphasizing urbanization and the goal of shifting from manufacturing and export-led to services and domestic-led economy; and 3) to give students hands-on experience using Chinese economic data in the context of a brief research note. Each week will connect to current events and debates, with students writing three blog posts over the course of the semester to bring academic research and social scientific analysis to bear upon policy-relevant questions and developments.",SBA-AS|GLC-AS|SSC-AS|CAPS,5
823,Empire of Migrants,CAPS 3395,CAPS,"The Chinese diaspora can be found in nearly every corner of the globe today. Although Chinese emigration accelerated under what came to be known as ""globalization"" in the late 20th century, in fact the global movement of Chinese people is not a new phenomenon. This course will use both internal migration and global immigration as a lens for understanding China's development, politics, and society more broadly. In focusing on the period from the mid-19th century to the present, we will see that the movement of Chinese people has both shaped, and been shaped by, colonialism, the global economy, and international politics.",CAPS,5
824,Honors Thesis Tutorial I,CAPS 4010,CAPS,Honors students conduct research to prepare a thesis on a topic of their own choosing under the direction of a faculty member. The application must be successfully submitted and an Honors Committee formed by the end of applicant's junior year in order for the student to be an honors candidate. Permission to enroll in CAPS 4020 is contingent upon the advisor's judgment of the viability of the student's honors thesis by the end of the semester.,CAPS,5
825,Honors Thesis Tutorial II,CAPS 4020,CAPS,Honors students complete research and finish a thesis on a topic of their own choosing under the direction of a faculty member.,CAPS,5
826,Making Sense of China: The Capstone Seminar,CAPS 4030,CAPS,"This course serves as a survey of major issues within Chinese politics and foreign policy and constitutes the capstone seminar for CAPS students.  is intended to give students an opportunity to explore aspects related to Chinese politics, economics, and society that they may have touched upon in other China-focused courses at Cornell, but have not been able to examine as fully, and with the degree of care, that they would like.  In this regard, the substance of the course will be developed through an iterative process between the instructor and the seminar participants.  We will spend the first part of the course doing a series of recent influential readings on contemporary China and developing initial research projects.  The second half of the class will be organized around student led presentations of research projects (accompanied by relevant academic, media, and policy readings).",CA-AS|ALC-AS|GLC-AS|CAPS,5
827,The Rise of China and Change in World Politics,CAPS 4049,CAPS,"The rise of China is one of the most important and defining themes in changing world politics. This seminar course is intended for students to examine major issues and topics concerning the rise of China against the backdrop of paradigmatic change in world politics from a historical and theoretical perspective, and to engage in the academic discourse and policy debate about dynamics of China's rise and its implications for world politics, and vice versa, how evolving world politics inform and influence the process of China's rise – namely, mutual constitution of rising China and the changing world.",SBA-AS|GLC-AS|SSC-AS|CAPS,5
828,Becoming a China Hand,CAPS 4502,CAPS,"China's prominence in the news cycle and policy discourse reflects the immense and growing tension in China's relations with the United States and other countries around the world. Substantively, there is hardly a profession or sector where what happens inside China does not touch upon or impact what happens outside China. Throughout this course, we will grapple with ongoing debates over China's rise and whether policies of engagement with China have succeeded or failed. These debates are unfolding in many different communities and idea marketplaces, across many different modes and styles of analysis and writing. Each of the reading and writing assignments are aimed at developing literacy and proficiency in three different modes of analysis and writing about China: academic, policy, and journalistic. While many courses provide introductions to different aspects of China, and many seminars examine more specialized questions at even deeper levels, there are few that directly invite students to examine and explore the different ways in which scholars and professionals have written about and come to understand China.",SBA-AS|GLC-AS|CAPS,5
829,China Imagined: The Historical and Global Origins of the Chinese Nation,CAPS 4772,CAPS,"As China, with its ""China Dream,"" rises in power on the global stage, what ""China"" means to its inhabitants and outsiders has become an issue increasingly relevant to business, international relations, and cultural exchange, and a topic that draws intensive attention from historians and social scientists. This course brings together undergraduate and graduate students who are interested in shifting meanings embedded in the concept of ""China,"" either as part of their research agenda, or as a useful lens for comparative analysis. Focus will be on how China as an Empire/ a Nation was conceptualized by different people in different periods and in different contexts, and on the reality and representation of China as political, cultural, racial, and geographical entities.",HA-AS|GLC-AS|HST-AS|CAPS,5
830,China and Asian Security,CAPS 4870,CAPS,"This course focuses primarily on China's evolving role in both Asia and world politics. While China may not necessarily be the sole determinant of the type of security order that will prevail in Asia, it has a profound influence on the region and potentially on the global order as well. To gain an understanding of security issues in Asia today, the seminar attempts to come to terms with the evolving nature of China's foreign policy and national security strategies. The course then concentrates on the most influential academic work on China's foreign relations and national security policies that has been published since the end of the Cold War.",SBA-AS|GLC-AS|SSC-AS|CAPS,5
831,CAPS Independent Study,CAPS 4999,CAPS,Independent study course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,CAPS,5
832,"Sustainable Engineering of Energy, Water, Soil, and Air Resources",CEE 1130,CEE,"Course introduces concepts and tools required for the sustainable management of energy, water, soil, and air resources in our modern society.  Semester is organized into four modules, each concentrating on one resource area and including a case study of local or regional significance.  Students work in teams to address sustainability problems that arise in the case studies.  Each module also includes presentations of technical approaches used in environmental engineering analyses. Project teams will be expected to apply those methods in their case study evaluations and management proposals. Technical approaches include life cycle analysis, mass balance computations, and mathematical modeling of pollutant dynamics in the environment.",CEE,5
833,AguaClara: Sustainable Water Supply Project,CEE 2550,CEE,"Student teams conduct research, build working models, design full-scale prototypes, create design algorithms, and create educational materials for technology transfer to improve drinking water quality in the Global South. For more information, see aguaclara.cee.cornell.edu.",CEE,5
834,Introduction to CADD,CEE 3080,CEE,"Students learn to employ computer-aided design and drafting (CADD) to construct 2D drawings in AutoCAD and 3D rendered models in SketchUp using a variety of AutoCAD and SketchUp techniques.  Grades are based on attendance, weekly projects, and a final project due the last week of classes.",CEE,5
835,Special Topics in Civil and Environmental Engineering,CEE 3090,CEE,Supervised study by individuals or groups of upper-division students on an undergraduate project or on specialized topics not covered in regular courses.,CEE,5
836,Engineering Computation,CEE 3200,CEE,"Introduction to numerical methods, computational mathematics, and probability and statistics. Development of programming and graphics proficiency with MATLAB and spreadsheets. Topics include Taylor-series approximations, numerical errors, condition numbers, operation counts, convergence, and stability, probability distributions, hypothesis testing. Included are numerical methods for solving engineering problems that entail roots of functions, simultaneous linear equations, statistics, regression, interpolation, numerical differentiation and integration, and solution of ordinary and partial differential equations, including an introduction to finite difference methods. Applications are drawn from different areas of engineering. A group project uses these methods on a realistic engineering problem.",CEE,5
837,Engineering Economics and Management,CEE 3230,CEE,"Introduction to engineering and business economics investment alternatives and to project management. Intended to give students a working knowledge of money management and how to make economic comparisons of alternatives involving future benefits and cost. The impact of inflation, taxation, depreciation, financial planning, economic optimization, project scheduling, and legal and regulatory issues are introduced and applied to economic investment and planning and project-management problems.",CEE,5
838,Environmental Quality Engineering,CEE 3510,CEE,"Introduction to engineering aspects of environmental quality control. Quality parameters, criteria, and standards for water and wastewater. Elementary analysis pertaining to the modeling of pollutant reactions in natural systems, and introduction to design of unit processes for wastewater treatment.",CEE,5
839,Introduction to Transportation Engineering,CEE 3610,CEE,"Introduces technological, economic, and social aspects of transportation. Emphasizes design and functioning of transportation systems and their components. Covers supply-demand interactions; system planning, design, and management; traffic flow, intersection control and network analysis; institutional and energy issues; and environmental impacts.",CEE,5
840,Structural Modeling and Behavior,CEE 3710,CEE,"Introduction to the structural engineering enterprise including aspects of design, loads, behavior, form, modeling, mechanics, materials, analysis, and construction/ manufacturing. Case studies involve different scales and various materials. Topics include analytical and finite-element computational modeling of structural systems, including cables, arches, trusses, beams, frames, and 2-D continua; deflections, strains, and stresses of structural members, systems, and 2-D continua by analytical and work/energy methods, with a focus on linear elastic behavior; the foundations of matrix structural analysis; and the application of finite-element software.",CEE,5
841,Senior Honors Thesis,CEE 4000,CEE,"Supervised research, study, and/or project work resulting in a written report or honors thesis.",CEE,5
842,Undergraduate Engineering Teaching in CEE,CEE 4010,CEE,Methods of instruction developed through discussions with faculty and by assisting with the instruction of undergraduates under the supervision of faculty.,CEE,5
843,CEE Undergraduate Research,CEE 4090,CEE,"Research in any area of civil or environmental engineering on problems under investigation by the department or of special interest to the student, provided that adequate facilities can be obtained. The student must review pertinent literature, prepare a project outline, carry out an approved plan, and submit a formal final report.",CEE,5
844,Flow in Porous Media and Groundwater,CEE 4330,CEE,"This course covers fundamentals of flow and transport in porous media and essentials of analytical and numerical methods for solving problems relevant to groundwater. Topics include (but not limited to): porous materials in the subsurface, water transport, mass and momentum conservation, infiltration, unsaturated flows. Throughout the course, we integrate common analytical and numerical methods for solving partial differential equations encountered in developing the fundamental concepts, such as separation of variables, method of characteristics and finite difference. Grades are based on individual and group assignments, a midterm, and a final project.",CEE,5
845,Laboratory Research in Environmental Engineering,CEE 4530,CEE,Laboratory investigations of reactor flow characteristics; acid rain/lake chemistry; contaminated soil-site assessment and remediation; and wastewater treatment.,CEE,5
846,Environmental Engineering in an International Context III,CEE 4562,CEE,"The course connects the themes of culture, society, and water infrastructure in the context of the majority world. The goal of the course is to offer students an experiential learning opportunity, working with AguaClara partner organizations and civil society organizations in emerging markets. Students will learn about the challenges and opportunities of creating sustainable infrastructure, institutional networks, and technical backstopping for water, sanitation, and hygiene. During the spring semester students synthesize the readings and their observations to develop a clearer understanding of the challenges of cross cultural collaboration designed to make the world a better place. This is the final part of a three-course sequence.",CEE,5
847,Introduction to the Behavior of Metal Structures,CEE 4740,CEE,"Introductory course focused on the use of solid and structural mechanics to quantify elementary behavior of metal structures in order to enable design. The course is project focused; with the students preparing a complete and detailed design deliverable. The course considers applications from civil structures, naval architecture, and aerospace engineering.",CEE,5
848,Concrete Materials and Construction,CEE 4750,CEE,"Covers the materials science, structural engineering, and construction technology involved in the materials aspects of the use of concrete. Topics include cement chemistry and physics, mix design, admixtures, engineering properties, testing of fresh and hardened concrete, and the effects of construction techniques on material behavior.",CEE,5
849,Structural Dynamics and Earthquake Engineering,CEE 4780,CEE,"Covers modal analysis, numerical methods, and frequency-domain analysis. Introduction to earthquake-resistant design.",CEE,5
850,Sensors for the Built and Natural Environments,CEE 4795,CEE,"Sensors are the link between the physical world and engineering decision making. This course introduces students to a wide variety of sensors with a specific focus on civil and environmental engineering applications such as material testing, structural health monitoring, traffic engineering, air and water quality monitoring, structural testing, watershed engineering, and geotechnical and subsurface energy applications. This course is intended to teach students how to implement sensors to measure physical quantities, conduct experiments, and develop monitoring tools for the natural environment and our engineered systems. Course topics include general introduction to different classes of sensors, data acquisition, signals, noise, system calibration, and uncertainty.",CEE,5
851,Applied Modeling and Simulation for Renewable Energy Systems,CEE 4880,CEE,"This course will provide an applied introduction to modeling, simulation and optimization techniques for various renewable energy systems. The course will be modular in nature. Each module will focus on a particular renewable energy application and relevant modeling/simulation tools. Some modules are independent and some will build on previous modules. The instructional format of the course will include lectures, scientific paper reviews, and some Matlab programming. Students will have an opportunity to apply new techniques to a relevant modeling project. The course will culminate with a modeling project relevant to renewable energy. Undergraduates will work in teams of 2-3 students to complete the term project.",CEE,5
852,Project in Environmental and Water Resources Systems,CEE 5022,CEE,Project-based course in the area of environmental and water resources under the guidance of a faculty member.,CEE,5
853,Project in Environmental Fluid Mechanics and Hydrology,CEE 5032,CEE,Project-based course in the area of environmental fluid mechanics and hydrology under the guidance of a faculty member.,CEE,5
854,Project in Geotechnical Engineering,CEE 5042,CEE,Design of major geotechnical engineering project. Planning and preliminary design during fall semester; final design completed in January intersession.,CEE,5
